,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=210deg,0.098,0.098,0.098,0.092,0.096,0.101,0.101,0.099,0.098,0.102,0.093,0.1,0.104,0.1,0.116,0.146,0.163,0.201,0.266,0.677,0.948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=220deg,0.099,0.098,0.097,0.1,0.099,0.102,0.098,0.1,0.09,0.098,0.094,0.095,0.101,0.105,0.109,0.138,0.147,0.206,0.259,0.693,0.928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=230deg,0.098,0.098,0.099,0.104,0.097,0.099,0.103,0.096,0.097,0.1,0.095,0.098,0.113,0.105,0.125,0.152,0.164,0.201,0.233,0.681,0.931,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=240deg,0.098,0.1,0.099,0.1,0.102,0.098,0.1,0.101,0.094,0.095,0.104,0.093,0.093,0.097,0.117,0.137,0.141,0.212,0.25,0.658,0.932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=250deg,0.1,0.1,0.096,0.104,0.102,0.103,0.102,0.098,0.095,0.088,0.088,0.099,0.098,0.112,0.115,0.119,0.151,0.203,0.251,0.646,0.929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=260deg,0.097,0.095,0.095,0.102,0.102,0.095,0.091,0.094,0.095,0.095,0.086,0.098,0.1,0.118,0.11,0.138,0.163,0.208,0.249,0.672,0.929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=270deg,0.093,0.095,0.094,0.094,0.099,0.098,0.091,0.103,0.096,0.096,0.099,0.096,0.096,0.099,0.116,0.144,0.165,0.183,0.265,0.663,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=280deg,0.094,0.094,0.094,0.094,0.096,0.094,0.103,0.101,0.091,0.091,0.097,0.112,0.104,0.103,0.108,0.14,0.159,0.219,0.256,0.641,0.939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=290deg,0.096,0.094,0.094,0.1,0.1,0.096,0.1,0.094,0.085,0.104,0.089,0.108,0.097,0.107,0.105,0.129,0.164,0.185,0.252,0.662,0.956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=300deg,0.096,0.096,0.094,0.099,0.1,0.103,0.096,0.099,0.082,0.097,0.105,0.095,0.099,0.101,0.112,0.137,0.16,0.191,0.275,0.68,0.928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=310deg,0.095,0.095,0.094,0.093,0.091,0.1,0.099,0.098,0.104,0.107,0.108,0.098,0.097,0.097,0.114,0.149,0.159,0.192,0.269,0.668,0.937,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=320deg,0.095,0.094,0.099,0.096,0.097,0.096,0.102,0.094,0.1,0.093,0.103,0.098,0.102,0.114,0.112,0.14,0.154,0.212,0.275,0.659,0.936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=330deg,0.097,0.1,0.101,0.097,0.097,0.091,0.104,0.099,0.096,0.092,0.104,0.104,0.095,0.094,0.112,0.131,0.162,0.188,0.24,0.672,0.944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=340deg,0.1,0.101,0.1,0.099,0.094,0.09,0.094,0.093,0.091,0.086,0.098,0.095,0.094,0.107,0.119,0.126,0.15,0.194,0.279,0.663,0.927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=350deg,0.1,0.104,0.1,0.099,0.092,0.093,0.09,0.089,0.102,0.098,0.095,0.113,0.094,0.097,0.107,0.139,0.164,0.204,0.263,0.656,0.946,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=360deg,0.1,0.104,0.105,0.099,0.096,0.094,0.094,0.094,0.1,0.098,0.098,0.094,0.099,0.106,0.12,0.126,0.141,0.2,0.264,0.659,0.939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
