,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,2.6889278321119505,2.6769962802694964,2.6558560845697365,2.833853190796781,2.831864482027483,2.8365979741682645,2.834363053220347,2.394519626761305,2.3441286145746068,2.63753805063541,2.549397431331391,2.315898843831582,2.223341661436162,2.1378756535454335,1.813984252676165,1.6529410990291422,1.5992706818344535,1.505614088777808,1.3087240569863647,0.773791520167176,0.5186446372685809,0.2862359678204481,0.24151308258573445,0.17300562836777653,0.13949934847692594,0.067821847188685,0.04414780401847691,0.02622057867231883,0.02331353805411884,0.0183714621220711,0.016318937582152925
dphi=10deg,2.689450446289636,2.6843934311371402,2.616385814522349,2.670138265897601,2.7044884446505773,2.7544974508607663,3.038256161035576,2.4799708860349616,2.833899322112122,2.649067610978255,2.5643885369391555,2.28451954399497,2.52329356098686,2.0809715644895013,1.991773861920383,1.6801453853082793,1.5895961701905998,1.4544329393939965,1.264320518410949,0.8227969314152239,0.5410876782627797,0.28676478588595367,0.23775924375447838,0.1730125073927337,0.14475741591504773,0.06784649541038948,0.04673312614579449,0.02708821105768792,0.022995390762284768,0.018504545114479177,0.015795037344875123
dphi=20deg,2.690376152837337,2.6862738380028044,2.6637753158051103,2.6881573772608833,2.74659258838914,2.7386082807113628,3.0608279189507503,2.527757381562313,2.9100544538798863,2.405057967064264,2.337579785327853,2.1614864072619877,2.2831054592958338,1.9660727391414239,1.8433876344333098,1.6716164197757895,1.6626384255336968,1.4148492715093441,1.305096710518245,0.7898058227024575,0.5277493561291511,0.2873976449671726,0.23383992741845222,0.17662942799467585,0.13761162832073354,0.06810924673157291,0.045251033665111254,0.027172676976759458,0.023444452273844257,0.0183519658450042,0.01613431013266434
dphi=30deg,2.6879194971169538,2.680281058855364,2.665444397656702,2.6639741234425287,2.742747334888948,2.7580010837393654,3.3082573939940403,2.458154484338031,2.7058128742839336,2.4518601823746304,2.58615147586104,2.3379844466323894,2.4331067452761843,2.044685191335591,1.914295721379747,1.6842753025000239,1.5922039741004672,1.4093116851155068,1.3227132668813424,0.8028071859372896,0.5152093422334443,0.28763991384055726,0.2389373268640457,0.1670937326440584,0.137113865875979,0.06914053490348775,0.04416399018324014,0.02717219153896097,0.023828656086969813,0.01851878400353278,0.01629441681287024
dphi=40deg,2.687743886312859,2.6797532500807644,2.591427724134684,2.5608714443351253,2.6021069451111423,2.646120280962292,2.8654894327306715,2.7918588116321055,2.544718623796152,2.6244009552908145,2.5925015306402495,2.466595365622764,2.3821380074943987,2.103457786054712,1.880868139787628,1.639336513028224,1.5797116511184204,1.444509825843368,1.2853671910597895,0.7978226447657767,0.5364626584345148,0.28451808864381906,0.23742998026350823,0.17081912301674768,0.13453587625892627,0.06952340895307324,0.045301871745022794,0.02621523592856706,0.023362610314452664,0.01810067355738366,0.01710188021709128
dphi=50deg,2.6901292102829575,2.584527032045564,2.5889562844829572,2.590823264667243,2.60244410473448,2.7702718148525833,2.377756873031338,2.6564844522865125,2.753071551746627,2.998055934943661,2.602352695619104,2.396593165466349,2.3469662581180746,1.9783967919833318,2.077136081018362,1.817862012770844,1.584979706673983,1.38506192564859,1.2923609508908407,0.8023145388954303,0.5173512312679964,0.2927246583079335,0.23645526191312982,0.17651232394883734,0.13868523451140105,0.07005135846317934,0.046637967450519166,0.026562511386429986,0.022997060985733862,0.01820699290623752,0.0160760345989816
dphi=60deg,2.578709724772131,2.5807277977844088,2.5826242945586815,2.6118342541154895,2.6462534003667173,2.986628326924567,2.9578915821883514,2.4848286275435334,2.8114573257447955,2.5971745571153186,2.423554708120895,2.4837800555331726,2.19534573023586,2.1870219114984475,1.9690202231289609,1.7674670829548882,1.7182708624102134,1.3207612910293214,1.2713362844170466,0.8086336698854394,0.5158469276391234,0.28192794405264315,0.23434790880451875,0.17517814362608264,0.14129553135412362,0.06985466905562299,0.04435656844497582,0.027175972020243012,0.021805534639913905,0.018689040599376386,0.016497204095282565
dphi=70deg,2.66033045280721,2.5839074478085555,2.5731012694284527,2.6154872355191654,2.6183842600855285,2.8395573501300246,2.5252420584347894,2.505869653015313,2.5313809195189614,2.485127195009543,2.617726722126968,2.5788977867689877,2.322770093462703,2.1301073299081614,1.9872278884770342,1.6658739158019427,1.5924736548625609,1.435926645680802,1.2596531320811846,0.7829392782412443,0.5412393355122238,0.27635128506632334,0.23669292757442345,0.172291862220974,0.13674103928497705,0.0684552275663193,0.044765125652348935,0.027666351819294537,0.022439276671395288,0.017843821436418356,0.015776430739646668
dphi=80deg,2.657098021774909,2.5565252908850513,2.539343456015493,2.623947100900352,2.605639668265946,2.755713531206192,2.996207110668733,2.4549046609812164,2.8702948011947065,2.6185719663312086,2.3734683407436403,2.4930212071398277,2.286754045444519,2.0634216869945483,1.890242877713131,1.7315342663204278,1.6416318394831828,1.3654146829240041,1.2889625502738038,0.7793768298994682,0.5060219852402437,0.27756854580685686,0.2313514392166843,0.17547677694100744,0.1374936035352405,0.06738598058524328,0.0470774245649309,0.02647717731759859,0.022238731647890333,0.018518193473528802,0.01636397017126405
dphi=90deg,2.653514692632307,2.6321994668264757,2.6297634637906673,2.609019925190623,2.6132145123061883,2.7119097858643926,2.9298882995594875,2.4327350982202525,2.4861720756376005,2.5030351012915544,2.225281057616274,2.31517253503451,2.4295352323917254,2.099153348977499,1.9095083570186921,1.6831194913603809,1.5605991186333075,1.4537455923235016,1.3098322174187749,0.8542256592079482,0.5296456994962594,0.2880901804443844,0.23827671738080017,0.17469158420275585,0.13411987288416563,0.06913012312181517,0.04509281500530907,0.02628128168058903,0.023007633418112586,0.017803581635151323,0.01601844718400442
