,Ad2/Ad1=0.001,Ad2/Ad1=0.002,Ad2/Ad1=0.003,Ad2/Ad1=0.005,Ad2/Ad1=0.006,Ad2/Ad1=0.008,Ad2/Ad1=0.01,Ad2/Ad1=0.02,Ad2/Ad1=0.03,Ad2/Ad1=0.05,Ad2/Ad1=0.06,Ad2/Ad1=0.08,Ad2/Ad1=0.1,Ad2/Ad1=0.2,Ad2/Ad1=0.3,Ad2/Ad1=0.5,Ad2/Ad1=0.6,Ad2/Ad1=0.8,Ad2/Ad1=1,Ad2/Ad1=2,Ad2/Ad1=3,Ad2/Ad1=5,Ad2/Ad1=6,Ad2/Ad1=8,Ad2/Ad1=10,Ad2/Ad1=20,Ad2/Ad1=30,Ad2/Ad1=50,Ad2/Ad1=60,Ad2/Ad1=80,Ad2/Ad1=100
dphi=0deg,0.094,0.094,0.092,0.092,0.092,0.09,0.087,0.094,0.098,0.106,0.101,0.091,0.094,0.092,0.112,0.116,0.121,0.134,0.163,0.372,0.6,0.967,0.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=10deg,0.094,0.094,0.093,0.094,0.091,0.088,0.094,0.098,0.097,0.1,0.095,0.091,0.094,0.107,0.102,0.114,0.127,0.149,0.176,0.354,0.587,0.959,0.988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=20deg,0.094,0.094,0.094,0.092,0.094,0.091,0.094,0.094,0.104,0.093,0.101,0.091,0.101,0.109,0.111,0.122,0.117,0.147,0.165,0.353,0.598,0.948,0.994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=30deg,0.093,0.094,0.094,0.093,0.094,0.091,0.098,0.094,0.099,0.1,0.096,0.1,0.091,0.102,0.117,0.127,0.123,0.159,0.158,0.352,0.602,0.948,0.992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=40deg,0.093,0.094,0.092,0.093,0.091,0.09,0.097,0.096,0.101,0.115,0.106,0.1,0.092,0.108,0.105,0.11,0.118,0.133,0.153,0.348,0.598,0.965,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=50deg,0.094,0.092,0.092,0.092,0.092,0.1,0.093,0.093,0.089,0.114,0.1,0.104,0.101,0.106,0.102,0.113,0.116,0.148,0.17,0.364,0.624,0.942,0.986,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=60deg,0.092,0.093,0.093,0.092,0.091,0.099,0.096,0.092,0.099,0.098,0.101,0.097,0.099,0.101,0.103,0.107,0.11,0.155,0.17,0.355,0.647,0.936,0.988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=70deg,0.092,0.092,0.093,0.092,0.092,0.099,0.091,0.096,0.097,0.093,0.103,0.1,0.102,0.098,0.105,0.119,0.124,0.137,0.177,0.378,0.65,0.974,0.987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=80deg,0.09,0.095,0.095,0.091,0.092,0.097,0.095,0.095,0.092,0.083,0.099,0.106,0.102,0.088,0.097,0.133,0.12,0.149,0.159,0.363,0.654,0.956,0.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dphi=90deg,0.091,0.091,0.092,0.092,0.092,0.092,0.091,0.1,0.093,0.095,0.106,0.105,0.106,0.101,0.1,0.116,0.128,0.158,0.162,0.308,0.606,0.956,0.991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
